fecha,conv_llam_netas,aaee_llam_netas,mail_envios,mail_llam_netas,carrefour_llam_netas,sms_envios,sms_llam_netas,transf_llam_netas,est_llam_netas,tot_llam_netas,vtas_movil,vtas_fijo,sheet,radio_llam_netas
2020-03-07,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","0,0",1414 Empresas,"0,0"
2020-03-08,"-2,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0",1414 Empresas,"0,0"
2020-03-09,"187,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0","245,0","190,0","20,0","17,0",1414 Empresas,"0,0"
2020-03-10,"170,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","230,0","170,0","23,0","22,0",1414 Empresas,"0,0"
2020-03-11,"140,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","200,0","140,0","24,0","8,0",1414 Empresas,"0,0"
2020-03-12,"139,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","185,0","139,0","10,0","15,0",1414 Empresas,"0,0"
2020-03-13,"114,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","175,0","114,0","17,0","10,0",1414 Empresas,"0,0"
2020-03-14,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-15,"-1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-16,"119,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","245,0","119,0","7,0","10,0",1414 Empresas,"0,0"
2020-03-17,"118,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","230,0","118,0","22,0","11,0",1414 Empresas,"0,0"
2020-03-18,"117,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","200,0","118,0","7,0","8,0",1414 Empresas,"0,0"
2020-03-19,"70,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","185,0","70,0","8,0","7,0",1414 Empresas,"0,0"
2020-03-20,"97,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","175,0","97,0","16,0","1,0",1414 Empresas,"0,0"
2020-03-21,"-1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-22,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-23,"105,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0","245,0","108,0","5,0","4,0",1414 Empresas,"0,0"
2020-03-24,"76,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","230,0","76,0","4,0","7,0",1414 Empresas,"0,0"
2020-03-25,"70,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","200,0","70,0","6,0","7,0",1414 Empresas,"0,0"
2020-03-26,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","185,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-27,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","175,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-28,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-29,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-30,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","245,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-31,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","230,0","0,0","0,0","0,0",1414 Empresas,"0,0"
